2025-10-25 20:17:51,145 - INFO - No external AI keys detected; falling back to heuristic scoring.
2025-10-25 20:17:51,145 - INFO - AI provider configured: Heuristic
2025-10-25 20:17:58,714 - INFO - ✅ Frontier AI components loaded
2025-10-25 20:17:58,714 - INFO - 🤖 Real-time AI Analyzer initialized
2025-10-25 20:17:58,714 - INFO - 🚀 Starting real-time collection + analysis for 21 tickers
2025-10-25 20:17:58,715 - INFO -    Time window: 48 hours
2025-10-25 20:17:58,715 - INFO -    Max articles per ticker: 10
2025-10-25 20:17:58,715 - INFO - [1/21] Processing RELIANCE...
2025-10-25 20:17:58,715 - INFO - 📰 Fetching news for RELIANCE (last 48h)
2025-10-25 20:18:07,152 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c607f06d0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:18:07,156 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c607f1000>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:18:07,174 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c607f1930>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:18:07,994 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c607f2200>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:18:08,325 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609bace0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:18:08,332 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609bb4c0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 20:18:08,341 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609bbd60>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:18:08,350 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609ba380>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:18:08,353 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c607f08b0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:18:08,363 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c607f11e0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:18:08,377 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c607f1ba0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
