Date,Open,High,Low,Close,Volume,ticker
2025-06-19,148.6999969482422,152.6999969482422,146.0,150.25,58400,URBAN.NS
2025-06-20,150.25,153.39999389648438,148.0,152.3000030517578,26400,URBAN.NS
2025-06-23,151.0,152.0,148.0500030517578,151.5,14400,URBAN.NS
2025-06-24,153.0,156.64999389648438,152.0,155.14999389648438,22400,URBAN.NS
2025-06-25,155.14999389648438,155.89999389648438,149.0,150.0,66400,URBAN.NS
2025-06-26,150.0,152.0,148.0,151.1999969482422,35200,URBAN.NS
2025-06-27,151.1999969482422,152.9499969482422,149.35000610351562,151.25,14400,URBAN.NS
2025-06-30,153.0,153.0,150.0,150.6999969482422,28000,URBAN.NS
2025-07-01,149.0,152.0,149.0,149.3000030517578,21600,URBAN.NS
2025-07-02,150.0,152.0,150.0,150.0,15200,URBAN.NS
2025-07-03,150.0,153.89999389648438,148.5,153.75,34400,URBAN.NS
2025-07-04,153.75,155.5,150.0500030517578,151.10000610351562,24800,URBAN.NS
2025-07-07,148.0500030517578,152.9499969482422,148.0500030517578,152.10000610351562,24800,URBAN.NS
2025-07-08,150.10000610351562,154.8000030517578,150.0500030517578,152.0,23200,URBAN.NS
2025-07-09,152.0,153.85000610351562,151.0,153.60000610351562,32800,URBAN.NS
2025-07-10,152.1999969482422,153.0,152.0,152.0,13600,URBAN.NS
2025-07-11,153.0,153.0,149.1999969482422,152.0,36000,URBAN.NS
2025-07-14,153.0,155.0,150.10000610351562,153.9499969482422,28800,URBAN.NS
2025-07-15,154.5,156.89999389648438,152.3000030517578,153.5500030517578,20000,URBAN.NS
2025-07-16,155.6999969482422,155.6999969482422,153.0,154.39999389648438,21600,URBAN.NS
2025-07-17,154.39999389648438,157.0,153.5500030517578,154.3000030517578,15200,URBAN.NS
2025-07-18,154.3000030517578,156.60000610351562,152.0500030517578,156.60000610351562,28000,URBAN.NS
2025-07-21,157.0,164.39999389648438,157.0,164.39999389648438,44000,URBAN.NS
2025-07-22,164.39999389648438,165.0,160.0,162.35000610351562,18400,URBAN.NS
